Iteration,Loss
756,-5813.7685546875
757,-5930.62353515625
758,-5927.53125
759,-5974.841796875
760,-6010.0498046875
761,-6055.7734375
762,-6059.3251953125
763,-6134.65673828125
764,-6165.6640625
765,-6181.9287109375
766,-6141.21484375
767,-6196.205078125
768,-6239.7451171875
769,-6258.8447265625
770,-6122.7333984375
771,-6314.4931640625
772,-6255.0
773,-6084.63427734375
774,-6428.58447265625
775,-6185.4306640625
776,-6223.35888671875
777,-6453.5595703125
778,-6314.63525390625
779,-6490.353515625
780,-6543.3857421875
781,-6549.48046875
782,-6549.5859375
783,-6572.0458984375
784,-6696.4345703125
785,-6713.7890625
786,-6678.2373046875
787,-6838.70166015625
788,-6788.4111328125
789,-6814.1953125
790,-6896.6953125
791,-6785.365234375
792,-6948.85205078125
793,-6938.654296875
794,-6938.74609375
795,-6985.662109375
796,-6974.94677734375
797,-7029.064453125
798,-7125.29345703125
799,-7060.12890625
800,-7146.85498046875
801,-7136.47216796875
802,-7185.6865234375
803,-7269.7177734375
804,-7288.0078125
805,-7267.39404296875
806,-7360.1005859375
807,-7422.8056640625
808,-7388.5048828125
809,-7457.955078125
810,-7466.96142578125
811,-7459.517578125
812,-7467.7421875
813,-7520.255859375
814,-7429.8349609375
815,-7585.4404296875
816,-7555.390625
817,-7620.279296875
818,-7626.912109375
819,-7715.41357421875
820,-7649.00732421875
821,-7705.6337890625
822,-7438.0537109375
823,-7582.05224609375
824,-7697.6865234375
825,-7759.2802734375
826,-7827.28857421875
827,-7755.04296875
828,-7899.7509765625
829,-7955.8994140625
830,-8072.3544921875
831,-7985.4140625
832,-7967.298828125
833,-8040.6279296875
834,-8021.646484375
835,-8155.97607421875
836,-8110.990234375
837,-8144.7421875
838,-8192.5859375
839,-8283.158203125
840,-8308.126953125
841,-8370.033203125
842,-8348.126953125
843,-8359.5537109375
844,-8426.65625
845,-8452.095703125
846,-8516.310546875
847,-8490.9365234375
848,-8582.861328125
849,-8501.314453125
850,-8561.595703125
851,-8673.4345703125
852,-8729.673828125
853,-8552.935546875
854,-8650.4921875
855,-8757.1484375
856,-8702.35546875
857,-8786.736328125
858,-8801.01171875
859,-8677.92578125
860,-8780.09765625
861,-8964.26953125
862,-8875.43359375
863,-8944.716796875
864,-8779.314453125
865,-8887.6904296875
866,-9043.107421875
867,-8967.1396484375
868,-9076.95703125
869,-9193.482421875
870,-9043.837890625
871,-9237.8427734375
872,-9165.0869140625
873,-9279.66796875
874,-9299.5263671875
875,-9280.72265625
876,-9338.54296875
877,-9343.5849609375
878,-9305.76171875
879,-9303.455078125
880,-9355.31640625
881,-9423.52734375
882,-9412.5859375
883,-9344.255859375
884,-9534.3583984375
885,-9484.2421875
886,-9507.33984375
887,-9558.8369140625
888,-9590.28125
889,-9650.1240234375
890,-9609.25390625
891,-9736.2412109375
892,-9649.4248046875
893,-9813.2470703125
894,-9691.65625
895,-9751.876953125
896,-9743.7705078125
897,-9848.0537109375
898,-9783.939453125
899,-9837.9609375
900,-9915.0078125
901,-9958.353515625
902,-9987.009765625
903,-9821.640625
904,-10059.837890625
905,-9987.390625
906,-10007.57421875
907,-10046.4931640625
908,-10076.603515625
909,-10056.392578125
910,-10213.828125
911,-10150.240234375
912,-10129.744140625
913,-10140.7705078125
914,-10216.4111328125
915,-10108.8740234375
916,-10231.74609375
917,-10203.7138671875
918,-10116.45703125
919,-10341.12890625
920,-10158.009765625
921,-10312.392578125
922,-10376.298828125
923,-10251.34375
924,-10476.783203125
925,-10450.5703125
926,-10460.259765625
927,-10495.7626953125
928,-10525.02734375
929,-10605.078125
930,-10548.7099609375
931,-10513.4482421875
932,-10697.056640625
933,-10619.775390625
934,-10742.9794921875
935,-10670.033203125
936,-10754.0986328125
937,-10728.505859375
938,-10827.1904296875
939,-10732.130859375
940,-10876.2216796875
941,-10820.623046875
942,-10953.4609375
943,-10923.669921875
944,-10913.052734375
945,-10975.353515625
946,-10922.060546875
947,-11045.486328125
948,-11000.0595703125
949,-11016.25
